Id,Label,class
State_of_matter,State of matter,8
Atom,Atom,8
Particle_physics,Particle physics,8
Standard_Model,Standard Model,8
Subatomic_particle,Subatomic particle,8
Electron,Electron,8
Neutron,Neutron,8
Photon,Photon,8
Proton,Proton,8
Quantum_mechanics,Quantum mechanics,8
Radioactive_decay,Radioactive decay,8
Space,Space,8
Vacuum,Vacuum,8
Thermodynamics,Thermodynamics,8
Heat,Heat,8
Temperature,Temperature,8
Theory_of_relativity,Theory of relativity,8
Speed_of_light,Speed of light,8
Wave,Wave,8
Electromagnetic_radiation,Electromagnetic radiation,8
Light,Light,8
Color,Color,8
Optics,Optics,8
Sound,Sound,8
Biology,Biology,8
Life,Life,8
Cell_(biology),Cell (biology),8
Death,Death,8
Suicide,Suicide,8
Abiogenesis,Abiogenesis,8
Evolution,Evolution,8
Human_evolution,Human evolution,8
Natural_selection,Natural selection,8
Organism,Organism,8
Archaea,Archaea,8
Bacteria,Bacteria,8
Eukaryote,Eukaryote,8
Animal,Animal,8
Zoology,Zoology,8
Amphibian,Amphibian,8
Arthropod,Arthropod,8
Crustacean,Crustacean,8
Insect,Insect,8
Bird,Bird,8
Chicken,Chicken,8
Fish,Fish,8
Mammal,Mammal,8
Cat,Cat,8
Cattle,Cattle,8
Dog,Dog,8
Horse,Horse,8
Pig,Pig,8
Primate,Primate,8
Human,Human,8
Rodent,Rodent,8
Sheep,Sheep,8
Mollusca,Mollusca,8
Reptile,Reptile,8
Dinosaur,Dinosaur,8
Plant,Plant,8
Algae,Algae,8
Botany,Botany,8
Flower,Flower,8
Seed,Seed,8
Tree,Tree,8
Fungus,Fungus,8
Virus,Virus,8
Anatomy,Anatomy,8
Human_body,Human body,8
Circulatory_system,Circulatory system,8
Blood,Blood,8
Heart,Heart,8
Lung,Lung,8
Digestion,Digestion,8
Liver,Liver,8
Immune_system,Immune system,8
Skeletal_muscle,Skeletal muscle,8
Nervous_system,Nervous system,8
Brain,Brain,8
Ear,Ear,8
Eye,Eye,8
Sense,Sense,8
Skeleton,Skeleton,8
Bone,Bone,8
Skin,Skin,8
Ecology,Ecology,8
Biodiversity,Biodiversity,8
Ecosystem,Ecosystem,8
Extinction,Extinction,8
Genetics,Genetics,8
DNA,DNA,8
Gene,Gene,8
Heredity,Heredity,8
RNA,RNA,8
Metabolism,Metabolism,8
Molecular_biology,Molecular biology,8
Hormone,Hormone,8
